Team 1,Team 2,Map,Winner,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
dignitas,NiP,overpass,dignitas,1.02,1.09,1.05,1.16,52.87,52.36,54.03,45,76.5,73.8,29.8,28.8
CLG,G2,dust2,CLG,1.02,0,1.05,1.01,51.98,51.65,55.77,46.74,73.2,74.1,29.1,25.8
mousesports,Liquid,dust2,mousesports,1.01,1.04,1.04,1.08,51.93,53.59,53.44,59.09,75.0,74.6,28.2,30.7
TyLoo,Luminosity,mirage,Luminosity,0,0,1.04,1.14,65.63,57.91,58.7,55.95,84.2,79.4,39.9,33.3
Cloud9,Liquid,cache,Liquid,1.02,1.04,1.06,1.08,53.48,55.59,58.78,52.03,76.4,74.8,28.8,34.0
Liquid,Cloud9,dust2,Liquid,1.04,1.02,1.08,1.06,53.59,54.66,59.09,50,74.6,75.5,30.7,30.3
EnVyUs,dignitas,inferno,dignitas,1.04,1.02,1.07,1.05,54.28,51.95,56.17,57.14,76.5,74.6,30.2,28.7
dignitas,EnVyUs,mirage,dignitas,1.02,1.04,1.05,1.07,55.47,53.31,56.59,53.06,77.4,72.3,30.2,33.8
Astralis,CLG,overpass,Astralis,0,1.02,1.11,1.05,58.29,52.49,63.33,46.05,76.7,77.3,35.7,26.4
Luminosity,NiP,mirage,Luminosity,0,1.09,1.14,1.16,57.91,51.24,55.95,52.05,79.4,74.8,33.3,27.8
G2,Cloud9,dust2,G2,0,1.02,1.01,1.06,51.65,54.66,46.74,50,74.1,75.5,25.8,30.3
Gambit,EnVyUs,cache,Gambit,0,1.04,1.0,1.07,50.47,55.14,58.33,52.98,71.0,77.3,31.7,31.0
G2,Virtus.pro,train,Virtus.pro,0,1.03,1.01,1.06,48.8,54.51,47.14,51.28,70.7,77.4,28.2,30.5
Gambit,Astralis,train,Astralis,0,0,1.0,1.11,53.25,53.13,55,40.91,75.6,71.2,32.2,32.5
CLG,EnVyUs,cobblestone,CLG,1.02,1.04,1.05,1.07,52.59,55.41,53.7,61.61,73.3,76.1,28.0,33.3
Liquid,FaZe,cache,Liquid,1.04,0,1.08,0.99,55.59,46.72,52.03,75,74.8,71.0,34.0,22.6
mousesports,Luminosity,mirage,Luminosity,1.01,0,1.04,1.14,52.81,57.91,54.17,55.95,76.2,79.4,29.5,33.3
Astralis,NiP,cache,NiP,0,1.09,1.11,1.16,47.14,53.65,45.83,51.7,67.8,78.0,29.3,27.4
NiP,Astralis,mirage,NiP,1.09,0,1.16,1.11,51.24,61.04,52.05,43.75,74.8,82.4,27.8,33.7
mousesports,dignitas,inferno,dignitas,1.01,1.02,1.04,1.05,48.86,51.95,58.87,57.14,70.2,74.6,25.4,28.7
dignitas,mousesports,cobblestone,dignitas,1.02,1.01,1.05,1.04,52.12,50.81,57.35,55.1,76.4,71.8,27.2,29.0
CLG,Liquid,mirage,Liquid,1.02,1.04,1.05,1.08,54.55,52.24,55.08,54.76,76.4,75.4,29.3,28.0
Liquid,CLG,cobblestone,Liquid,1.04,1.02,1.08,1.05,53.23,52.59,50,53.7,73.4,73.3,29.6,28.0
Astralis,dignitas,mirage,Astralis,0,1.02,1.11,1.05,61.04,55.47,43.75,56.59,82.4,77.4,33.7,30.2
dignitas,Astralis,inferno,Astralis,1.02,0,1.05,1.11,51.95,53.31,57.14,40,74.6,74.6,28.7,30.0
Natus Vincere,EnVyUs,train,Natus Vincere,1.03,1.04,1.07,1.07,53.85,51.77,63.24,52.33,73.9,74.8,31.3,27.9
CLG,Luminosity,overpass,Luminosity,1.02,0,1.05,1.14,52.49,54.77,46.05,55.71,77.3,76.6,26.4,30.7
Luminosity,CLG,cobblestone,Luminosity,0,1.02,1.14,1.05,56.27,52.59,48.72,53.7,79.9,73.3,29.4,28.0
mousesports,FaZe,dust2,mousesports,1.01,0,1.04,0.99,51.93,43.9,53.44,57.14,75.0,72.8,28.2,20.3
FaZe,mousesports,cache,mousesports,0,1.01,0.99,1.04,46.72,55.22,75,54.12,71.0,76.8,22.6,32.1
Cloud9,Luminosity,cobblestone,Luminosity,1.02,0,1.06,1.14,55.92,56.27,55.26,48.72,78.0,79.9,30.4,29.4
Luminosity,Cloud9,overpass,Cloud9,0,1.02,1.14,1.06,54.77,54.03,55.71,53.03,76.6,75.8,30.7,29.2
G2,FaZe,cache,G2,0,0,1.01,0.99,51.22,46.72,50.74,75,74.7,71.0,27.1,22.6
FaZe,G2,dust2,G2,0,0,0.99,1.01,43.9,51.65,57.14,46.74,72.8,74.1,20.3,25.8
G2,dignitas,overpass,dignitas,0,1.02,1.01,1.05,53.15,52.87,48.15,54.03,77.7,76.5,27.7,29.8
dignitas,G2,inferno,G2,1.02,0,1.05,1.01,51.95,51.34,57.14,62.9,74.6,74.1,28.7,27.3
Natus Vincere,dignitas,overpass,Natus Vincere,1.03,1.02,1.07,1.05,54.15,52.87,56.33,54.03,75.8,76.5,29.2,29.8
Virtus.pro,G2,overpass,G2,1.03,0,1.06,1.01,50.98,53.15,44.16,48.15,72.8,77.7,28.1,27.7
G2,Virtus.pro,train,Virtus.pro,0,1.03,1.01,1.06,48.8,54.51,47.14,51.28,70.7,77.4,28.2,30.5
