Team 1,Team 2,Map,Winner,Team 1 rank,Team 2 rank,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
FaZe,G2,dust2,G2,18,13,1.046,1.056,0.99,1.01,43.9,51.65,57.14,46.74,72.8,74.1,20.3,25.8
fnatic,NiP,inferno,fnatic,3,5,1.084,1.114,1.12,1.16,56.7,52.96,51.78,52.65,79.3,75.6,32.3,27.9
NiP,fnatic,cache,NiP,5,3,1.114,1.084,1.16,1.12,53.65,56.46,51.7,55.19,78.0,77.3,27.4,32.7
G2,dignitas,overpass,dignitas,13,8,1.056,1.024,1.01,1.05,53.15,52.87,48.15,54.03,77.7,76.5,27.7,29.8
dignitas,G2,inferno,G2,8,13,1.024,1.056,1.05,1.01,51.95,51.34,57.14,62.9,74.6,74.1,28.7,27.3
Natus Vincere,dignitas,overpass,Natus Vincere,1,8,1.044,1.024,1.07,1.05,54.15,52.87,56.33,54.03,75.8,76.5,29.2,29.8
fnatic,mousesports,dust2,mousesports,3,9,1.084,1.074,1.12,1.04,53.14,51.93,51.44,53.44,75.2,75.0,29.6,28.2
mousesports,fnatic,cache,fnatic,9,3,1.074,1.084,1.04,1.12,55.22,56.46,54.12,55.19,76.8,77.3,32.1,32.7
Virtus.pro,G2,overpass,G2,7,13,1.046,1.056,1.06,1.01,50.98,53.15,44.16,48.15,72.8,77.7,28.1,27.7
G2,Virtus.pro,train,Virtus.pro,13,7,1.056,1.046,1.01,1.06,48.8,54.51,47.14,51.28,70.7,77.4,28.2,30.5
EnVyUs,Astralis,inferno,EnVyUs,6,4,1.072,1.06,1.07,1.11,54.28,55.84,56.17,45.45,76.5,76.5,30.2,31.2
Astralis,EnVyUs,train,Astralis,4,6,1.06,1.072,1.11,1.07,53.13,51.77,40.91,52.33,71.2,74.8,32.5,27.9
Natus Vincere,FaZe,mirage,Natus Vincere,1,18,1.044,1.046,1.07,0.99,55.8,52.43,55.84,56.25,78.7,74.5,30.0,25.0
G2,EnVyUs,train,G2,13,6,1.056,1.072,1.01,1.07,48.8,51.77,47.14,52.33,70.7,74.8,28.2,27.9
EnVyUs,G2,cache,G2,6,13,1.072,1.056,1.07,1.01,55.14,51.22,52.98,50.74,77.3,74.7,31.0,27.1
Virtus.pro,NiP,overpass,NiP,7,5,1.046,1.114,1.06,1.16,50.98,52.36,44.16,45,72.8,73.8,28.1,28.8
NiP,Virtus.pro,cache,NiP,5,7,1.114,1.046,1.16,1.06,53.65,52.79,51.7,52.44,78.0,76.3,27.4,27.6
NiP,FaZe,train,NiP,5,18,1.114,1.046,1.16,0.99,55.01,44.77,50,35.71,78.4,62.7,28.5,23.0
FaZe,NiP,dust2,NiP,18,5,1.046,1.114,0.99,1.16,43.9,54.93,57.14,53.79,72.8,78.7,20.3,28.4
Astralis,mousesports,dust2,Astralis,4,9,1.06,1.074,1.11,1.04,56.2,51.93,70,53.44,81.8,75.0,30.5,28.2
mousesports,Astralis,mirage,Astralis,9,4,1.074,1.06,1.04,1.11,52.81,61.04,54.17,43.75,76.2,82.4,29.5,33.7
E-frag.net,EnVyUs,cache,E-frag.net,20,6,1.05,1.072,1.09,1.07,56.77,55.14,61.03,52.98,76.5,77.3,33.6,31.0
Tempo Storm,Astralis,cache,Astralis,14,4,1.03,1.06,1.12,1.11,50.69,48.6,55.26,42.31,73.0,69.5,27.3,30.0
FaZe,Virtus.pro,mirage,Virtus.pro,18,7,1.046,1.046,0.99,1.06,52.43,56.25,56.25,55.33,74.5,78.0,25.0,31.5
Virtus.pro,E-frag.net,overpass,Virtus.pro,7,20,1.046,1.05,1.06,1.09,50.98,48.67,44.16,52.44,72.8,72.5,28.1,24.3
Tempo Storm,EnVyUs,mirage,Tempo Storm,14,6,1.03,1.072,1.12,1.07,47.36,53.31,41.18,53.06,71.1,72.3,20.9,33.8
Tempo Storm,Virtus.pro,cobblestone,Tempo Storm,14,7,1.03,1.046,1.12,1.06,57.2,51.82,65.79,50.81,77.8,73.8,33.7,29.8
Astralis,FaZe,inferno,Astralis,4,18,1.06,1.046,1.11,0.99,55.84,59.14,45.45,62.5,76.5,77.4,31.2,36.9
FaZe,EnVyUs,train,EnVyUs,18,6,1.046,1.072,0.99,1.07,44.77,51.77,35.71,52.33,62.7,74.8,23.0,27.9
Astralis,E-frag.net,mirage,Astralis,4,20,1.06,1.05,1.11,1.09,61.04,52.98,43.75,58.82,82.4,75.3,33.7,28.9
Tempo Storm,FaZe,dust2,FaZe,14,18,1.03,1.046,1.12,0.99,53.68,43.9,53.33,57.14,69.4,72.8,38.0,20.3
Virtus.pro,EnVyUs,cache,Virtus.pro,7,6,1.046,1.072,1.06,1.07,52.79,55.14,52.44,52.98,76.3,77.3,27.6,31.0
Tempo Storm,E-frag.net,inferno,Tempo Storm,14,20,1.03,1.05,1.12,1.09,55.16,54.33,64.71,46.67,77.3,73.5,28.0,32.4
Astralis,Virtus.pro,overpass,Astralis,4,7,1.06,1.046,1.11,1.06,58.29,50.98,63.33,44.16,76.7,72.8,35.7,28.1
Astralis,EnVyUs,train,Astralis,4,6,1.06,1.072,1.11,1.07,53.13,51.77,40.91,52.33,71.2,74.8,32.5,27.9
FaZe,E-frag.net,cache,FaZe,18,20,1.046,1.05,0.99,1.09,46.72,56.77,75,61.03,71.0,76.5,22.6,33.6
mousesports,fnatic,dust2,fnatic,9,3,1.074,1.084,1.04,1.12,51.93,53.14,53.44,51.44,75.0,75.2,28.2,29.6
NiP,Luminosity,mirage,NiP,5,2,1.114,1.106,1.16,1.14,51.24,57.91,52.05,55.95,74.8,79.4,27.8,33.3
Luminosity,mousesports,cobblestone,Luminosity,2,9,1.106,1.074,1.14,1.04,56.27,50.81,48.72,55.1,79.9,71.8,29.4,29.0
Natus Vincere,NiP,overpass,Natus Vincere,1,5,1.044,1.114,1.07,1.16,54.15,52.36,56.33,45,75.8,73.8,29.2,28.8
NiP,fnatic,inferno,fnatic,5,3,1.114,1.084,1.16,1.12,52.96,56.7,52.65,51.78,75.6,79.3,27.9,32.3
Natus Vincere,mousesports,cobblestone,Natus Vincere,1,9,1.044,1.074,1.07,1.04,52.21,50.81,52.11,55.1,73.5,71.8,29.5,29.0
Luminosity,fnatic,inferno,Luminosity,2,3,1.106,1.084,1.14,1.12,57.5,56.7,57.35,51.78,78.7,79.3,30.8,32.3
Natus Vincere,Luminosity,mirage,Luminosity,1,2,1.044,1.106,1.07,1.14,55.8,57.91,55.84,55.95,78.7,79.4,30.0,33.3
Natus Vincere,fnatic,dust2,fnatic,1,3,1.044,1.084,1.07,1.12,53.37,53.14,50.81,51.44,76.1,75.2,27.0,29.6
NiP,mousesports,mirage,mousesports,5,9,1.114,1.074,1.16,1.04,51.24,52.81,52.05,54.17,74.8,76.2,27.8,29.5
Cloud9,dignitas,cache,Cloud9,16,8,1.026,1.024,1.06,1.05,53.48,51.18,58.78,49.3,76.4,76.1,28.8,25.8
Gambit,Cloud9,cache,Gambit,19,16,1.018,1.026,1.0,1.06,50.47,53.48,58.33,58.78,71.0,76.4,31.7,28.8
mousesports,HellRaisers,mirage,mousesports,9,17,1.074,1.056,1.04,1.03,52.81,49.25,54.17,56.06,76.2,72.5,29.5,25.3
Tempo Storm,G2,dust2,G2,14,13,1.03,1.056,1.12,1.01,53.68,51.65,53.33,46.74,69.4,74.1,38.0,25.8
HellRaisers,Liquid,dust2,HellRaisers,17,10,1.056,1.064,1.03,1.08,52.36,53.59,56.44,59.09,76.0,74.6,28.4,30.7
Astralis,Virtus.pro,cache,Astralis,4,7,1.06,1.046,1.11,1.06,48.6,52.79,42.31,52.44,69.5,76.3,30.0,27.6
Virtus.pro,Astralis,overpass,Astralis,7,4,1.046,1.06,1.06,1.11,50.98,58.29,44.16,63.33,72.8,76.7,28.1,35.7
Natus Vincere,NiP,mirage,NiP,1,5,1.044,1.114,1.07,1.16,55.8,51.24,55.84,52.05,78.7,74.8,30.0,27.8
mousesports,NiP,overpass,NiP,9,5,1.074,1.114,1.04,1.16,50.17,52.36,54.39,45,72.5,73.8,25.6,28.8
NiP,mousesports,cache,NiP,5,9,1.114,1.074,1.16,1.04,53.65,55.22,51.7,54.12,78.0,76.8,27.4,32.1
EnVyUs,Virtus.pro,mirage,EnVyUs,6,7,1.072,1.046,1.07,1.06,53.31,56.25,53.06,55.33,72.3,78.0,33.8,31.5
Virtus.pro,EnVyUs,cobblestone,Virtus.pro,7,6,1.046,1.072,1.06,1.07,51.82,55.41,50.81,61.61,73.8,76.1,29.8,33.3
G2,mousesports,overpass,mousesports,13,9,1.056,1.074,1.01,1.04,53.15,50.17,48.15,54.39,77.7,72.5,27.7,25.6
mousesports,G2,dust2,G2,9,13,1.074,1.056,1.04,1.01,51.93,51.65,53.44,46.74,75.0,74.1,28.2,25.8
fnatic,Astralis,inferno,fnatic,3,4,1.084,1.06,1.12,1.11,56.7,55.84,51.78,45.45,79.3,76.5,32.3,31.2
fnatic,Astralis,dust2,fnatic,3,4,1.084,1.06,1.12,1.11,53.14,56.2,51.44,70,75.2,81.8,29.6,30.5
G2,fnatic,overpass,fnatic,13,3,1.056,1.084,1.01,1.12,53.15,56.88,48.15,58.89,77.7,77.1,27.7,33.8
G2,fnatic,inferno,fnatic,13,3,1.056,1.084,1.01,1.12,51.34,56.7,62.9,51.78,74.1,79.3,27.3,32.3
Astralis,dignitas,overpass,Astralis,4,8,1.06,1.024,1.11,1.05,58.29,52.87,63.33,54.03,76.7,76.5,35.7,29.8
