Team 1, Team 2, Winning Team, Winning Score, Losing Score, Map Played
compLexity,Method,Method,13,16,mirage
Enemy,Coast,Enemy,16,11,inferno
Splyce,Liquid,Liquid,4,16,inferno
Red Instinct,TS-Netteux,Red Instinct,16,14,dust2
uber g33ks,nerdRage,uber g33ks,16,6,mirage
Denmark,Poland,Denmark,16,10,cache
WE GOT GAME,TS-Netteux,WE GOT GAME,16,3,train
Netherlands,Hungary,Netherlands,16,13,mirage
mousesports,SK,mousesports,16,11,inferno
TSM,Titan,TSM,21,17,dust2
Red Instinct,WE,WE,13,16,cobblestone
France,Netherlands,France,16,10,cobblestone
mousesports,HellRaisers,mousesports,16,11,cobblestone
TSM,fnatic,fnatic,9,16,inferno
Hungary,Serbia,Hungary,16,8,mirage
TS-Netteux,LDLC,TS-Netteux,16,13,mirage
G2,fnatic,fnatic,12,16,inferno
SK,NiP,NiP,9,16,inferno
Romania,Denmark,Denmark,8,16,mirage
Ukraine,Serbia,Serbia,9,16,inferno
Romania,Kazakhstan,Kazakhstan,14,16,cache
EnVyUs,Titan,EnVyUs,16,7,train
TSM,SK,TSM,16,4,dust2
Ukraine,Hungary,Hungary,9,16,cobblestone
Portugal,Kazakhstan,Portugal,16,3,dust2
Netherlands,Ukraine,Netherlands,15,15,dust2
Portugal,Romania,Portugal,16,11,dust2
Method,CLG,CLG,6,16,inferno
Conquest,Liquid,Conquest,16,6,train
compLexity,CLG,compLexity,16,10,overpass
Swarm,Coast,Coast,8,16,cobblestone
compLexity,Enemy,compLexity,16,14,cache
unKnights,melty,melty,13,16,dust2
Asus ROG,unKnights,unKnights,0,16,train
France,Hungary,France,16,12,dust2
Dead Pixels,melty,Dead Pixels,16,10,cache
ESC,European,ESC,21,19,mirage
fnatic,mousesports,fnatic,16,8,inferno
TSM,EnVyUs,EnVyUs,12,16,inferno
Poland,Romania,Poland,16,8,mirage
Asus ROG,Dead,Dead,4,16,mirage
G2,HellRaisers,G2,21,17,cache
Natus Vincere,mousesports,Natus Vincere,16,5,inferno
Spain,Netherlands,Spain,16,9,cache
Natus Vincere,SK,Natus Vincere,16,11,cache
Serbia,Netherlands,Serbia,15,15,inferno
unKnights,melty,melty,12,16,cobblestone
TSM,HellRaisers,TSM,16,9,overpass
Titan,fnatic,fnatic,8,16,cobblestone
EnVyUs,NiP,NiP,8,16,train
Latvia,Denmark,Denmark,0,16,dust2
summa.gg,European,European,7,16,inferno
Serbia,Spain,Spain,8,16,mirage
Kazakhstan,Denmark,Kazakhstan,16,8,cache
Kazakhstan,Latvia,Latvia,8,16,dust2
Leader-1,ACE,ACE,8,16,cache
GLG,fish123,fish123,13,16,dust2
Serbia,France,France,7,16,inferno
United Estonia,Choke,United Estonia,16,8,inferno
Spain,France,France,5,16,inferno
Publiclir.se,Enervate,Enervate,16,19,cache
Kazakhstan,Poland,Kazakhstan,16,10,mirage
CeX,Infused,Infused,6,16,dust2
France,Ukraine,France,16,10,cobblestone
Latvia,Poland,Poland,10,16,cache
London Conspiracy,XPC,XPC,7,16,cache
Denmark,Portugal,Denmark,16,3,cache
PiTER,Gdansk,PiTER,16,4,mirage
Spain,Hungary,Hungary,5,16,dust2
Latvia,Portugal,Portugal,3,16,dust2
RCTIC,E-frag.net,E-frag.net,4,16,dust2
Latvia,Romania,Latvia,15,15,inferno
KOWABUNGA,x6tence,x6tence,7,16,cache
AWTR,Epsilon,AWTR,16,7,mirage
eaZyQuaL,Space,Space,3,16,cobblestone
KappaKappa,Night,Night,13,16,inferno
Vega Squadron,LDLC,LDLC,4,16,dust2
KILLERFISH,OverGaming,OverGaming,0,16,cache
Los Jefes,Worst,Worst,12,16,mirage
volgare,MIXCAT,MIXCAT,11,16,mirage
Insidious,Skyred,Skyred,5,16,mirage
TyLoo,nxl,TyLoo,19,15,inferno
MOTV,Insidious,Insidious,11,16,cache
Brutality,Skyred,Skyred,9,16,dust2
Penguin,TyLoo,TyLoo,1,16,mirage
nxl,MiTH,nxl,16,2,cache
AbsoluteTerror,QeeYou,QeeYou,7,16,mirage
MVP.karnal,TheMongolz,TheMongolz,14,16,dust2
Miraculous Hawks,AbsoluteTerror,AbsoluteTerror,1,16,dust2
QeeYou,m0nster,QeeYou,16,7,inferno
Virtual Impact,MVP.karnal,MVP.karnal,4,16,cache
TheMongolz,DeToNator,TheMongolz,16,9,mirage
Natus Vincere,Titan,Titan,10,16,cobblestone
TSM,fnatic,TSM,19,17,dust2
eBettle,ESC,eBettle,16,9,mirage
NiP,Cloud9,NiP,19,16,dust2
Virtus.pro,EnVyUs,Virtus.pro,16,7,cache
Natus Vincere,TSM,TSM,10,16,overpass
Titan,fnatic,fnatic,6,16,cobblestone
NiP,Virtus.pro,Virtus.pro,7,16,mirage
Cloud9,EnVyUs,EnVyUs,12,16,cobblestone
ESC,KappaKappa,ESC,16,11,mirage
Natus Vincere,Titan,Natus Vincere,19,15,overpass
Virtus.pro,Natus,Natus,18,22,mirage
Worst Players,Los,Los,14,16,mirage
Los Jefes,KILLERFISH,Los Jefes,21,17,cache
mousesports,Natus,Natus,13,16,cobblestone
E-frag.net,Virtus.pro,Virtus.pro,8,16,overpass
E-frag.net,MiA,E-frag.net,16,4,cache
CSGO-Saloon,mousesports,mousesports,6,16,dust2
Choke,CeX,Choke,16,4,inferno
fish123,fm-eSports,fish123,16,10,dust2
United Estonia,Infused,Infused,10,16,overpass
GLG,XENEX,XENEX,3,16,cache
Space Soldiers,Torpedo,Torpedo,19,21,cache
dignitas,MIXCAT,dignitas,16,12,mirage
Space Soldiers,Los,Space Soldiers,16,12,cache
Torpedo,INFINITY,Torpedo,16,10,train
Wizards,dignitas,dignitas,3,16,overpass
MIXCAT,EURONICS,MIXCAT,16,4,cache
Games Academy,Levitate,Games Academy,16,4,dust2
Luminosity,Games,Luminosity,16,10,mirage
EZ on The Soul,Levitate,Levitate,5,16,inferno
London Conspiracy,OverGaming,London Conspiracy,16,6,cache
dope,Los,Los,9,16,cache
EZ on The Soul,Luminosity,Luminosity,1,16,dust2
k1ck,Fredde,k1ck,16,10,mirage
Levitate,Games,Games,4,16,cobblestone
EURONICS,Epsilon,EURONICS,16,13,cache
melty,Wizards,Wizards,9,16,inferno
roflhehe,MIXCAT,MIXCAT,4,16,dust2
gBots,INFINITY,INFINITY,14,16,inferno
Torpedo,Fraternitas,Torpedo,16,14,cache
WinOut.net,Nexus,Nexus,3,16,overpass
WinOut.net,Reap,WinOut.net,16,10,dust2
Nexus,Method,Method,8,16,cache
Nexus,WinOut.net,Nexus,16,13,inferno
Reap What You Sow,Method,Method,11,16,cache
iSg.vA,1hp,iSg.vA,16,6,cache
Bovines,nxl,nxl,11,16,mirage
xqR,b2W,xqR,16,2,inferno
CORE,TyLoo,TyLoo,2,16,overpass
Swarm,Enemy,Enemy,9,16,cache
3sUP,Enemy,3sUP,16,7,dust2
CLG Red,Swarm,Swarm,13,16,cobblestone
CLG Red,3sUP,3sUP,9,16,dust2
Swarm,Enemy,Enemy,5,16,inferno
Excellence,ACE,ACE,2,16,mirage
Excellence,BitterSweetGG,Excellence,16,2,overpass
ACE,CLG,CLG,6,16,dust2
ACE,Excellence,ACE,16,3,cobblestone
BitterSweetGG,CLG,CLG,2,16,mirage
Finland,Denmark,Finland,16,10,dust2
Finland,Sweden,Finland,16,13,mirage
Kinguin,Natus,Kinguin,16,11,inferno
Finland,Norway,Finland,16,12,cache
Kinguin,mousesports,Kinguin,16,7,train
mousesports,Titan,mousesports,16,14,dust2
TSM,Natus,TSM,16,10,dust2
dignitas,Kinguin,Kinguin,13,16,mirage
Aposis,Space,Space,6,16,mirage
mousesports,TSM,TSM,7,16,overpass
dignitas,Natus,Natus,6,16,overpass
Playing Ducks,Space,Space,4,16,mirage
Reason,Aftermatch,Reason,16,14,cobblestone
Epiphany Bolt,ESC,Epiphany Bolt,19,17,mirage
Dobry&Gaming,Epsilon,Dobry&Gaming,26,24,cache
AlienTech,Epiphany,AlienTech,16,14,cobblestone
Team8,ESC,ESC,7,16,mirage
Team8,AlienTech,AlienTech,14,16,cache
Epiphany Bolt,ESC,Epiphany Bolt,16,6,mirage
Epsilon,ESC,Epsilon,16,5,inferno
Philippines,Nepal,Philippines,16,4,overpass
Philippines,Indonesia,Indonesia,2,16,mirage
Nepal,Indonesia,Indonesia,4,16,dust2
GLG,CeX,CeX,19,21,inferno
United Estonia,fm-eSports,United Estonia,16,8,cache
Aftermatch,INFINITY,INFINITY,10,16,cache
Reason,3v,Reason,16,5,cobblestone
fish123,Infused,Infused,11,16,overpass
Aftermatch,Reason,Aftermatch,16,11,inferno
INFINITY,3v,INFINITY,16,10,inferno
Choke,XENEX,XENEX,13,16,overpass
Kyrgyzstan,Palestine,Kyrgyzstan,16,4,cache
Palestine,India,India,8,16,dust2
Kyrgyzstan,India,Kyrgyzstan,16,2,mirage
KappaKappa,Vega,Vega,7,16,cache
PiTER,GREAT,PiTER,16,14,cobblestone
KappaKappa,Los,KappaKappa,16,14,cache
PiTER,AliGon,PiTER,21,16,cache
Vega Squadron,Dobry&Gaming,Vega Squadron,16,6,mirage
GREAT ONE-LINERS,GameplayDNA,GREAT ONE-LINERS,16,3,cobblestone
Japan,Singapore,Singapore,12,16,mirage
Vietnam,Singapore,Vietnam,16,1,inferno
South Korea,Japan,Japan,6,16,mirage
Aftermatch,AlienTech,AlienTech,6,16,inferno
Space Soldiers,Reason,Reason,6,16,dust2
myKPV,Aftermatch,Aftermatch,12,16,dust2
Space Soldiers,SK,Space Soldiers,16,5,mirage
Reason,Aspen,Reason,16,8,dust2
OMNIPOTENCE,AlienTech,AlienTech,5,16,cobblestone
Singapore,South,Singapore,15,15,mirage
South Korea,Vietnam,Vietnam,7,16,mirage
Japan,Vietnam,Vietnam,12,16,cache
Denmark,Sweden,Denmark,16,11,mirage
Finland,Denmark,Denmark,20,21,mirage
Finland,Norway,Finland,16,12,inferno
China,Thailand,China,16,9,mirage
Sri Lanka,Thailand,Thailand,7,16,cache
Sri Lanka,Malaysia,Malaysia,4,16,dust2
KILLERFISH,Reason,Reason,19,22,overpass
Thailand,Malaysia,Thailand,16,12,mirage
Malaysia,China,China,14,16,dust2
Sri Lanka,China,China,1,16,cache
Reason,XPC,Reason,16,8,cobblestone
fish123,CeX,fish123,16,11,cache
Choke,fm-eSports,Choke,16,12,inferno
GLG,Infused,Infused,1,16,cache
TSK,myKPV,TSK,16,14,mirage
United Estonia,XENEX,XENEX,2,16,dust2
myKPV,Games4u,myKPV,16,5,inferno
FlipSid3,Luminosity,Luminosity,18,22,cobblestone
Denmark,Sweden,Sweden,12,16,inferno
mousesports,FlipSid3,FlipSid3,14,16,cobblestone
Denmark,Norway,Denmark,16,8,mirage
Renegades,NiP,NiP,5,16,inferno
Finland,Denmark,Denmark,14,16,mirage
Titan,Renegades,Renegades,9,16,mirage
CLG,Natus,Natus,14,16,cobblestone
eBettle,CLG,CLG,14,16,mirage
Kinguin,Cloud9,Kinguin,16,13,dust2
Immunity,Kinguin,Kinguin,13,16,dust2
Natus Vincere,fnatic,fnatic,2,16,inferno
Cloud9,Virtus.pro,Virtus.pro,8,16,cobblestone
OverGaming,ESC,OverGaming,19,16,cobblestone
Natus Vincere,Titan,Natus Vincere,19,17,overpass
mousesports,Cloud9,Cloud9,10,16,overpass
eBettle,fnatic,fnatic,2,16,mirage
Immunity,Virtus.pro,Virtus.pro,8,16,cobblestone
TSM,NiP,TSM,16,3,cache
Luminosity,EnVyUs,EnVyUs,16,19,cobblestone
TSM,Renegades,TSM,16,11,train
Luminosity,Kinguin,Luminosity,16,6,overpass
CLG,NiP,NiP,13,16,dust2
FlipSid3,EnVyUs,EnVyUs,3,16,inferno
Teamless.gg,ESC,ESC,16,19,cobblestone
Reason,Dobry&Gaming,Dobry&Gaming,10,16,cache
k1ck,Games4u,k1ck,16,4,mirage
GamePub,k1ck,k1ck,3,16,inferno
London Conspiracy,Phenomenon,Phenomenon,6,16,dust2
fish123,XENEX,XENEX,7,16,dust2
Choke,Infused,Choke,16,8,overpass
GLG,fm-eSports,fm-eSports,2,16,cache
United Estonia,CeX,United Estonia,16,12,cache
OverGaming,Publiclir.se,OverGaming,16,13,cache
Aposis,dignitas,dignitas,5,16,mirage
Sweden,Norway,Sweden,16,8,mirage
Sweden,Denmark,Sweden,16,7,inferno
Finland,Sweden,Sweden,8,16,cache
South Africa,Libya,Libya,6,16,cobblestone
Algeria,South,Algeria,16,1,dust2
South Africa,Morocco,Morocco,2,16,dust2
Tunisia,South,Tunisia,16,1,inferno
Egypt,South,Egypt,16,3,cache
Egypt,Tunisia,Tunisia,10,16,cache
Egypt,Algeria,Egypt,16,9,cache
Libya,Tunisia,Tunisia,6,16,inferno
Algeria,Libya,Algeria,15,15,dust2
PiTER,ROCCAT,PiTER,16,13,mirage
CAZ,PiTER,PiTER,12,16,cache
Morocco,Egypt,Egypt,6,16,dust2
Tunisia,Morocco,Tunisia,16,3,cache
Algeria,Tunisia,Tunisia,12,16,inferno
Egypt,Libya,Egypt,16,10,cache
Libya,Morocco,Morocco,6,16,cache
Morocco,Algeria,Morocco,15,15,dust2
TSM,Renegades,TSM,16,4,dust2
Denmark,Norway,Norway,9,16,mirage
Denmark,Finland,Denmark,16,7,cache
Sweden,Denmark,Denmark,19,21,mirage
EnVyUs,mousesports,EnVyUs,19,17,cache
TSM,SK,TSM,16,6,overpass
mousesports,EnVyUs,mousesports,16,11,train
TSM,SK,TSM,19,15,cobblestone
EnVyUs,mousesports,EnVyUs,16,8,dust2
TSM,CLG,TSM,16,7,inferno
Renegades,SK,SK,16,19,cobblestone
TSM,mousesports,TSM,16,8,dust2
SK,Renegades,Renegades,14,16,mirage
CLG,EnVyUs,EnVyUs,13,16,inferno
Renegades,SK,Renegades,16,10,cache
TSM,CLG,TSM,16,12,train
mousesports,EnVyUs,EnVyUs,13,16,inferno
Renegades,TSM,TSM,6,16,mirage
SK,CLG,SK,16,12,overpass
Renegades,mousesports,mousesports,2,16,dust2
TSM,EnVyUs,EnVyUs,11,16,cobblestone
CAZ,uX,uX,18,21,cache
uX,eXanimo,uX,16,7,dust2
eLevate,Mythic,eLevate,16,13,mirage
Tempo Storm,Liquid,Liquid,10,16,cache
Maximum Effort,eLevate,eLevate,3,16,cobblestone
Mythic,CLG,CLG,14,16,dust2
Mythic,Maximum,Mythic,16,13,cache
eLevate,CLG,CLG,11,16,overpass
Noble,Tempo,Tempo,10,16,cache
Liquid,Cloud9,Cloud9,10,16,dust2
Liquid,Tempo,Liquid,16,11,cache
Noble,Cloud9,Cloud9,2,16,cobblestone
UNLEASHED,Epiphany,Epiphany,14,16,mirage
Lions,UNLEASHED,UNLEASHED,11,16,mirage
Epiphany Bolt,Jynttä,Jynttä,4,16,mirage
Lions,Epiphany,Epiphany,8,16,train
UNLEASHED,Jynttä,Jynttä,11,16,dust2
Mostly Harmless,Method,Method,12,16,train
LQQMPP,FlipSid3,FlipSid3,8,16,mirage
Kinguin,PiTER,Kinguin,16,1,cache
volgare,Infused,volgare,16,4,overpass
INFINITY,Orbit,INFINITY,16,6,cache
SkitLite,ROCCAT,ROCCAT,8,16,cache
eBettle,ROCCAT,eBettle,16,13,dust2
SkitLite,KappaKappa,SkitLite,16,11,cache
SkitLite,eBettle,eBettle,8,16,cobblestone
KappaKappa,ROCCAT,ROCCAT,4,16,mirage
Quintic,Venom,Venom,7,16,cache
Mortality,Astral,Mortality,19,17,cache
Noble,Astral,Astral,9,16,cache
Zomblerz,eLevate,eLevate,7,16,dust2
Publiclir.se,Kinguin,Publiclir.se,16,12,inferno
Infused,CSGOCasino.net,Infused,16,11,dust2
LQQMPP,Property,LQQMPP,16,13,train
ROCCAT,E-frag.net,E-frag.net,13,16,inferno
eLevate,Venom,eLevate,16,2,mirage
Nexus,Liquid8,Nexus,19,17,cobblestone
Infused,Orbit,Orbit,8,16,cobblestone
melty,Kinguin,Kinguin,16,19,dust2
Orbit,eXanimo,Orbit,16,9,inferno
LDLC White,E-frag.net,E-frag.net,13,16,inferno
LGB,Titan,Titan,2,16,dust2
LGB,HellRaisers,LGB,16,7,inferno
Titan,eBettle,eBettle,23,25,train
LGB,k1ck,LGB,16,9,overpass
G2,HellRaisers,HellRaisers,9,16,cache
Epiphany Bolt,LGB,LGB,11,16,mirage
ROCCAT,G2,G2,5,16,cache
k1ck,Titan,Titan,8,16,train
eBettle,HellRaisers,eBettle,16,14,overpass
